DASBR Array #,Element #,Hydrophone Type,Serial Number
GDA-1,0,HTI-92-WB,856028
GDA-1,1,HTI-96-min,856025
GDA-2,0,HTI-96-min,856019
GDA-2,1,HTI-96-min,856023
GDA-3,0,HTI-96-min,856027
GDA-3,1,HTI-96-min,856022
GDA-4,0,HTI-96-min,856026
GDA-4,1,HTI-96-min,n/a
1,0,HTI-96-min,856045
1,1,HTI-96-min,856042
2,0,HTI-92-WB,856046
2,1,HTI-96-min,856039
3,0,HTI-96-min,856044
3,1,HTI-96-min,856040
4,0,HTI-96-min,856041
4,1,HTI-96-min,856043
5,0,HTI-92-WB,856052
5,1,HTI-96-min,856063
6,0,HTI-96-min,856061
6,1,HTI-96-min,856056
7,0,HTI-92-WB,856051
7,1,HTI-96-min,856067
8,0,HTI-96-min,856060
8,1,HTI-96-min,856058
9,0,HTI-92-WB,856048
9,1,HTI-96-min,856059
10,0,HTI-92-WB,856053
10,1,HTI-96-min,856064
11,0,HTI-92-WB,856050
11,1,HTI-96-min,856065
12,0,HTI-92-WB,856049
12,1,HTI-96-min,856068
13,0,HTI-92-WB,856055
13,1,HTI-96-min,856066
14,0,HTI-92-WB,856054
14,1,HTI-96-min,856057
15,0,HTI-92-WB,856047
15,1,HTI-96-min,856062
ST300-1,0,Soundtrap 300,201883689
ST300-Jason,0,Soundtrap 300,1678299174
